card_id,name,set_id,set_name,series,rarity,snapshot_date,price_low,price_mid,price_market,price_high
sv1-31,Growlithe,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.03,0.18,0.19,10.15
sv1-33,Houndour,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.1,0.07,25.0
sv1-34,Houndoom,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.11,20.0
sv1-41,Armarouge,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.17,0.16,10.15
sv1-42,Slowpoke,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.18,0.18,10.14
sv1-44,Magikarp,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.1,20.0
sv1-52,Quaxly,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.09,10.09
sv1-58,Cetoddle,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.09,25.0
sv1-61,Dondozo,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.19,0.18,20.0
sv1-63,Magnemite,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.08,25.0
sv1-64,Magneton,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.07,25.0
sv1-62,Tatsugiri,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.13,20.0
sv1-69,Rotom,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.13,20.0
sv1-66,Mareep,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,10.1
sv1-76,Pawmot,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.15,0.13,19.5
sv1-75,Pawmo,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,10.07
sv1-80,Miraidon,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.16,0.14,40.0
sv1-77,Wattrel,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.08,19.5
sv1-81,Miraidon ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.25,0.8,0.59,15.99
sv1-78,Wattrel,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.06,25.0
sv1-83,Hypno,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.06,10.08
sv1-79,Kilowattrel,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.07,20.0
sv1-86,Gardevoir ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.2,0.99,0.82,4321.0
sv1-94,Dedenne,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.13,20.0
sv1-82,Drowzee,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.1,10.07
sv1-96,Klefki,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.26,0.26,20.0
sv1-84,Ralts,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.06,20.0
sv1-97,Fidough,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.1,20.0
sv1-85,Kirlia,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.18,0.15,25.0
sv1-98,Fidough,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.14,20.0
sv1-87,Shuppet,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.08,19.5
sv1-101,Flittle,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,10.12
sv1-89,Drifloon,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.1,25.0
sv1-90,Drifblim,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.09,20.0
sv1-91,Flabébé,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.09,20.0
sv1-65,Magnezone ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.25,0.96,0.63,4321.0
sv1-67,Flaaffy,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.12,20.0
sv1-71,Toxel,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.1,20.0
sv1-72,Toxtricity,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.12,25.0
sv1-74,Pawmi,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.09,25.0
sv1-93,Florges,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.08,20.0
sv1-100,Flittle,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.08,10.09
sv1-68,Pachirisu,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.1,25.0
sv1-70,Rotom,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.11,10.1
sv1-73,Pawmi,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,10.09
sv1-88,Banette ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.3,0.99,0.65,80.0
sv1-92,Floette,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.11,25.0
sv1-95,Dedenne,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.16,10.13
sv1-99,Dachsbun,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.09,10.11
sv1-102,Flittle,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.08,10.07
sv1-105,Greavard,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.07,25.0
sv1-104,Greavard,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.07,20.0
sv1-103,Espathra,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.08,10.08
sv1-106,Houndstone,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.15,0.09,10.1
sv1-107,Mankey,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.07,10.12
sv1-108,Primeape,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.09,10.09
sv1-109,Annihilape,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.17,0.17,19.5
sv1-111,Medicham,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.08,20.0
sv1-110,Meditite,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.1,0.07,19.5
sv1-113,Riolu,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.14,20.0
sv1-112,Riolu,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,20.0
sv1-114,Lucario,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.15,20.0
sv1-115,Sandile,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.07,20.0
sv1-117,Krookodile,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.1,25.0
sv1-118,Hawlucha,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.25,0.21,10.2
sv1-116,Krokorok,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,19.5
sv1-119,Silicobra,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.1,10.09
sv1-120,Sandaconda,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.07,10.06
sv1-121,Stonjourner,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.11,20.0
sv1-123,Great Tusk ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.3,0.99,0.57,4321.0
sv1-122,Klawf,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.15,0.1,25.0
sv1-124,Koraidon,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.17,0.11,36.0
sv1-125,Koraidon ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.2,0.99,0.58,50.0
sv1-126,Grimer,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.11,20.0
sv1-127,Muk,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.1,20.0
sv1-128,Seviper,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.08,25.0
sv1-132,Pawniard,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.08,20.0
sv1-129,Spiritomb,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.05,25.0
sv1-130,Croagunk,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.07,25.0
sv1-131,Toxicroak ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.25,0.99,0.7,4.99
sv1-133,Bisharp,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,20.0
sv1-134,Kingambit,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.16,0.13,20.0
sv1-135,Maschiff,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.07,25.0
sv1-136,Maschiff,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.1,0.08,20.0
sv1-139,Forretress,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.07,20.0
sv1-137,Mabosstiff,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.07,10.09
sv1-138,Bombirdier,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.08,20.0
sv1-140,Varoom,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.1,0.06,10.08
sv1-142,Revavroom,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.02,0.16,0.13,20.0
sv1-141,Varoom,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.08,20.0
sv1-143,Iron Treads ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.17,0.99,0.49,50.0
sv1-144,Chansey,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.14,20.0
sv1-145,Blissey,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.13,20.0
sv1-146,Zangoose,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.08,10.09
sv1-148,Starly,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,19.5
sv1-147,Zangoose,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.08,20.0
sv1-151,Skwovet,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,20.0
sv1-149,Staravia,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.09,10.08
sv1-150,Staraptor,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.11,25.0
sv1-153,Indeedee,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.2,0.18,40.0
sv1-152,Greedent,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.09,10.12
sv1-154,Lechonk,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.08,10.08
sv1-158,Oinkologne ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.27,0.99,0.85,5.95
sv1-157,Oinkologne,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.08,19.5
sv1-155,Lechonk,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.11,200.0
sv1-156,Lechonk,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,10.1
sv1-159,Tandemaus,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.03,0.2,0.17,20.0
sv1-160,Tandemaus,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.04,0.18,0.17,20.0
sv1-162,Squawkabilly,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.16,0.14,10.08
sv1-161,Maushold,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.15,20.0
sv1-164,Cyclizar,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.15,0.1,40.0
sv1-163,Cyclizar,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.07,10.09
sv1-165,Flamigo,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.11,20.0
sv1-166,Arven,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.05,0.5,0.36,29.99
sv1-167,Beach Court,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.07,19.5
sv1-173,Energy Switch,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.24,0.23,10.16
sv1-169,Defiance Band,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.02,0.19,0.14,10.19
sv1-171,Energy Retrieval,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.2,0.12,2.28
sv1-172,Energy Search,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.04,0.2,0.16,25.0
sv1-174,Exp. Share,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.2,0.2,19.5
sv1-168,Crushing Hammer,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,10.11
sv1-170,Electric Generator,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.07,19.5
sv1-176,Judge,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.2,0.14,19.5
sv1-178,Mesagoza,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.08,19.5
sv1-175,Jacq,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.2,0.19,15.0
sv1-177,Katy,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.1,25.0
sv1-179,Miriam,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.12,19.5
sv1-180,Nemona,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.07,10.1
sv1-181,Nest Ball,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.02,0.25,0.27,40.0
sv1-183,Penny,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.03,0.26,0.28,1.99
sv1-182,Pal Pad,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.04,0.26,0.25,10.26
sv1-184,Picnic Basket,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.07,10.09
sv1-185,Poké Ball,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,10.13
sv1-187,Pokémon Catcher,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.17,0.13,19.5
sv1-188,Potion,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.07,10.16
sv1-186,Pokégear 3.0,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.12,0.34,0.26,99.0
sv1-189,Professor's Research (Professor Sada),sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.2,0.07,19.5
sv1-191,Rare Candy,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.2,0.19,99.0
sv1-190,Professor's Research (Professor Turo),sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.15,0.1,10.11
sv1-192,Rock Chestplate,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.14,0.08,10.06
sv1-193,Rocky Helmet,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.06,10.09
sv1-194,Switch,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.16,0.15,19.0
sv1-195,Team Star Grunt,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.09,10.09
sv1-196,Ultra Ball,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.23,0.23,10.15
sv1-198,Youngster,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.04,19.5
sv1-200,Dolliv,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,3.15,5.0,5.02,75.0
sv1-197,Vitality Band,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.12,10.19
sv1-199,Tarountula,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,5.19,8.75,8.89,500.0
sv1-201,Toedscool,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,3.0,4.66,4.24,18.0
sv1-203,Armarouge,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,9.95,13.88,13.2,60.0
sv1-202,Scovillain,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,2.46,4.08,3.85,12.99
sv1-206,Wiglett,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,8.37,11.28,11.32,40.0
sv1-204,Slowpoke,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,29.75,34.52,30.75,100.0
sv1-205,Clauncher,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,4.0,5.71,5.73,19.0
sv1-209,Pawmot,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,4.0,6.73,6.61,100.0
sv1-208,Pachirisu,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,8.35,13.88,14.02,40.49
sv1-210,Drowzee,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,36.01,50.0,46.27,4321.0
sv1-207,Dondozo,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,7.0,10.03,9.44,29.99
sv1-214,Greavard,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,12.92,19.28,17.44,500.0
sv1-215,Riolu,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,19.67,32.69,32.1,120.0
sv1-211,Ralts,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,28.09,40.0,35.54,300.0
sv1-212,Kirlia,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,35.0,42.53,38.09,125.0
sv1-213,Fidough,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,13.72,17.63,16.83,200.0
sv1-217,Klawf,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,2.49,4.29,3.8,25.0
sv1-218,Mabosstiff,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,3.0,5.5,5.05,40.0
sv1-216,Sandile,sv1,Scarlet & Violet,Scarlet & Violet,Illustration Rare,2026-03-19,2.99,5.22,4.92,18.0
